DNI#INT,Nombre#STRING,CUI#INT,Escuela#STRING
30576802,"Pastor Yáñez Coral Yan",20199520,Historia
99343973,"Mármol Cano Fernando Leidy",20181887,Medicina Humana
46701149,"Ugarte Delgado Luis Máxima",20249691,Ingeniería Geológica
59593134,"Uría Rosas Andrey Benjamin",20248998,Ingeniería Electrónica
24290224,"Londoño Ramirez Ana Sophia Zacarías",20232662,Psicología
57793132,"Câmara Hernández María Pamela",20199821,Ingeniería Ambiental
54927433,"Navarro Pichardo Paola Gabriel",20199309,Ingeniería Electrónica
12570117,"Ramos Osorio José Eduardo Marcia",20171948,Educación Inicial
25652785,"Barros Benavent Odalys Azucena",20208180,Ingeniería Civil
73461053,"Vilanova Serrano Manuel Valentino",20228121,Ingeniería Civil
60616327,"Pacheco Larrea Beatriz Édgar",20190341,Comunicación Social
31844166,"Cadena Muñoz Sophie Amelia",20246279,Literatura y Lingüística
58057245,"Reyes Fernandez Clara Calebe",20258184,Ingeniería Civil
71057400,"Lerma Sales Emilio Diego",20259344,Ingeniería Industrial
29751305,"Hinojosa Vargas Pedro Miguel Hermenegildo",20171283,Ingeniería Geológica
97299405,"Mendoza Puentes Perlita Bautista",20214699,Educación Secundaria - Matemática y Física
78298942,"Silva Aguirre Amparo Juan Carlos",20243944,Educación Secundaria - Matemática y Física
85139238,"Morales da Rocha Andrés Karol",20246512,Educación Inicial
58870007,"Chapa Andrade Eugenia Pablo",20203279,Química
14828461,"Salas Oviedo Cecília Juan Ignacio",20196432,Trabajo Social
62884831,"Torres Araújo Pilar René",20187984,Trabajo Social
41421025,"Caicedo Abreu Thiago Ezequiel Amado",20223471,Ingeniería Electrónica
75192942,"Centeno Martínez Daniel Agatha",20240653,Administración
60790104,"Arreola Cassiano Asafe Bruno",20221142,Química
57777972,"Pinto Almeida Elisa María José",20200077,Medicina Humana
72392320,"Gutierrez Molina Betty Pietro",20172063,Trabajo Social
79401614,"Silva Bustos Thiago Ezequiel Cipriano",20237468,Educación Primaria
19376367,"Echeverría Ledesma Víctor Emanuel",20186041,Educación Secundaria - Matemática y Física
46557447,"Sosa Arredondo Nahuel Edilberto",20222062,Biología
82582325,"Lopez Álvarez Francesca Bautista Benjamin",20242103,Economía
38369180,"Barrios Cantero Fabio Santino",20226268,Ingeniería Geológica
87531729,"Rivas da Luz Bernabé Stella",20175936,Educación Secundaria - Matemática y Física
88820701,"Flores Carmona Jesús Thiago Benjamin",20241041,Odontología
78482844,"Malave Fernandez Amador Jafet",20172890,Matemáticas
80126240,"Cabrera Gallardo Gabriela Irma",20221598,Educación Secundaria - Matemática y Física
37825858,"Morales Samper Ambar Carmen",20216051,Trabajo Social
69382096,"Moura Silva Tomas Rómulo",20229850,Contabilidad
73606457,"Restrepo Pastor Juan Alma",20173046,Farmacia y Bioquímica
40816862,"Canales Cabrera Laura Ravi",20198883,Ingeniería Ambiental
88593245,"Barela Escobar Julia Bautista",20234311,Física
86147776,"García Valentín Ayla Amador",20221222,Educación Inicial
64153560,"Rivero Diaz Fabiola Nidia",20244941,Odontología
30412440,"Garcia Jurado Ignacio Yan",20246710,Odontología
47486002,"Garcia Palacios Melissa Léo",20172797,Matemáticas
15682960,"Gonzalez Valencia Enzo Celia",20171911,Ingeniería Ambiental
85888622,"Moreira Ayala Sandra Salvador",20258738,Ingeniería Civil
82507010,"Ruiz Villamizar Dulce María Ever",20221340,Ingeniería Civil
27447232,"Rodriguez Cerón William Yaiza",20204203,Ingeniería Industrial
46980976,"Henao Rodriguez Maria Luz Clara",20199613,Educación Inicial
31794477,"Gil Vieira Victoria Odalis",20193474,Ingeniería Electrónica
42266662,"Castaño Álvarez Gloria Amalia",20250936,Arquitectura
74578397,"Muñoz Cardoso Stephany Jacobo",20212712,Arquitectura
14054015,"Rodriguez Rodríguez Evelio Julia",20184218,Educación Inicial
93704574,"Gimenez Ordóñez Juan David Mariano",20258692,Contabilidad
99096959,"Montañez Vega Carlota Giovanna",20198380,Medicina Humana
50133804,"Araújo Sáenz Paloma Ciríaco",20259372,Historia
43817758,"Valenzuela Gaytán Emilia Santiago",20196415,Educación Primaria
82397859,"Pallarès Godoy Adalberto Nahiara",20193959,Medicina Humana
11170337,"Treviño Vélez Gertrudis Maria Isis",20232458,Ingeniería Electrónica
76736421,"Carrillo das Neves Lorena León",20227889,Historia
53580558,"Perez Fonseca Candelaria Gema",20232255,Medicina Humana
20383809,"Molina Aguirre Esther Lavínia",20242061,Ingeniería Industrial
72976866,"Somoza Carrión Lucía Timoteo",20214492,Odontología
51724517,"Moreno Agudelo Bryan Hilda",20248886,Educación Primaria
74663874,"Novaes Contreras Emilio Antonio",20254083,Ingeniería Mecánica
51094139,"Hernández Moreno Rufino Mariana",20204781,Ingeniería Ambiental
21535437,"Cárdenas Quintero María Hellena",20201593,Educación Inicial
98630964,"Mejía Dias Timoteo Kamilly",20253980,Historia
16441984,"Sales Araújo Martín Larissa",20234954,Literatura y Lingüística
69072550,"Ruiz Herrera Fidel Úrsula",20192626,Arquitectura
81348835,"Rebollo Tello Catalina Paulino",20199599,Física
48315321,"Bolaños Ramos Julieta Bruno",20180409,Química
86443076,"Sarmiento Cordoba Severo Frida",20175134,Odontología
81745751,"Jordán Palacios Benjamin Carlos",20185549,Ingeniería Industrial
33984328,"Mendes Quiroga Gabriel Brayan",20196430,Administración
53682842,"Olmo Lopez Isabella Paulo",20213776,Odontología
26438183,"Caldeira Méndez Dante Lucía",20205757,Contabilidad
20706692,"da Paz Ramírez Esperanza Marcelo",20193164,Educación Inicial
61011480,"Rocha Cifuentes Adalberto Liliana",20209844,Física
19328907,"Lima Santacruz Florina Maria Flor",20214898,Administración
86986639,"Mateo Maestas Melina Cornelio",20258708,Administración
10152397,"Rodriguez Mercado Rosario Raul",20256231,Ingeniería Geológica
35479915,"Fuentes Terrazas Juan Ignacio Claudia",20171366,Ingeniería Civil
10363565,"Lozano Diaz Óscar Dany",20242115,Física
42360881,"Báez Gonzalez Pedro Henrique Lucía",20255359,Ingeniería Electrónica
94136243,"Velázquez Prats Paula Theodoro",20248058,Psicología
39038953,"Sales Ruiz Thiago Ezequiel Rodrigo",20218649,Administración
39375802,"Ferreyra Correa Eugenia Fernanda",20234292,Trabajo Social
53324246,"Agudelo Gómez Maximiliano Luisa",20235039,Ingeniería Civil
85164127,"Hernandes Santillán María Sabrina",20241241,Historia
22928633,"Correa Correia Lavínia Felipe",20217184,Química
67269834,"Ramírez Matas Willian Pedro",20194156,Ingeniería Civil
90627207,"Velásquez Gutiérrez Juan Ignacio Bautista",20246385,Ingeniería de Sistemas
78578158,"García Monteiro Pamela Antonio",20207082,Ingeniería Mecánica
29774100,"Perez Pires Esther Filomena",20209727,Contabilidad
67470831,"Fuster Gurule Cecilio Constanza",20204104,Ingeniería Ambiental
84488481,"Pires Guzmán Néstor Emma",20207277,Literatura y Lingüística
32320978,"Díaz Ramírez Aurora Socorro",20213918,Matemáticas
10839718,"Díaz Siqueira Juan Cruz Rosalva",20196731,Economía
89241714,"Cruz Monreal Felicidad Carlos",20237288,Biología
79973778,"Sanabria Páez Dayana Joaquina",20212921,Sociología
58957911,"Lobato Villaverde Davi Miguel Fabiola",20181595,Ingeniería Geológica
95620611,"Sierra Ortiz Esperanza Wilmer",20257677,Educación Primaria
88320791,"Sanchez Monteiro Jazmin Paulina",20253982,Economía
88770692,"Garrido Urrutia Agustin Guillermo",20199995,Odontología
12523914,"Gómez Lopez Maximiliano Yago",20211153,Administración
70282755,"Estrada Viana Fabiola Nubia",20197662,Educación Secundaria - Matemática y Física
61470331,"Valencia Toledo Martina Milo",20242089,Sociología
72446983,"Duarte Sá Manuela Omar",20191018,Farmacia y Bioquímica
54240466,"Ponce Pacheco Valentino Manuella",20251239,Educación Inicial
90245799,"Soliz Vizcaíno Camila Anthony",20172810,Arquitectura
12479418,"Dias Ramirez Henry Ágatha",20259127,Sociología
73481472,"Macedo Pulido Yeni Guillermina",20221320,Medicina Humana
66974962,"Cervantes Lima Thiago Daniel Francesca",20247260,Biología
25386947,"Delgadillo Parra Heitor Abel",20213859,Literatura y Lingüística
13013448,"Sampaio Pacheco Julia Maria Helena",20222266,Ingeniería Electrónica
83108137,"Blanco Garcia Murilo Juana",20188216,Educación Secundaria - Matemática y Física
55150499,"Mojica Palacios Alberto Valentino",20237269,Psicología
10649500,"Salazar Perez Rosario Eladio",20253059,Trabajo Social
69091943,"Aguirre Souza Adrián Georgina",20256771,Ingeniería Ambiental
98648372,"Pelayo Caicedo Felicitas Luisa",20234727,Química
58638759,"Ribera Chaves Teresa Andrés",20237064,Sociología
54110140,"Souza Pimenta Hermenegildo Luara",20214951,Biología
25896904,"Bustamante Rael Mariano Adela",20210948,Ingeniería Eléctrica
31655586,"Gaytán Nazario Eloísa Felix",20194730,Psicología
70171318,"Muñoz Villanueva Paulo Helena",20209175,Ingeniería de Sistemas
59845356,"Abad Restrepo Gabrielly Amílcar",20245745,Arquitectura
97549365,"Peiró Romero Vitor Hugo Milagros",20244317,Psicología
25237692,"Acosta Rios Melissa Augusto",20197941,Derecho
87984849,"Duarte Murcia Manuel Evelio",20196757,Biología
65871352,"Longoria Trejo Inés Ana",20246246,Educación Secundaria - Matemática y Física
50998035,"Lopez Gonzalez Salma Maite",20195570,Economía
56488471,"Alonzo Carreón Isa Gabriel",20191420,Literatura y Lingüística
49631567,"Villalobos Gil Liz Prudencio",20212253,Educación Primaria
17723535,"Duque Vega Ignacio Francisca",20239617,Literatura y Lingüística
49878890,"Sanchez da Costa Igor Luís",20257703,Trabajo Social
30586277,"García Alonzo Estefanía Humberto",20182616,Historia
25983626,"Jara Villegas Georgina Flavio",20205452,Historia
13265628,"Camargo Molina Vito Moisés",20253104,Ingeniería Eléctrica
45217069,"Ferreira Viana Timoteo Felipe",20172676,Literatura y Lingüística
93352338,"Sosa Bou Juan Cruz Zoe",20254773,Ingeniería Mecánica
32828310,"das Neves Sales Ravy Vitor",20206753,Historia
86241996,"Gomez Villagómez Milagros Pietro",20207981,Odontología
72788588,"Porta Guzmán Lorenzo Micaela",20220198,Educación Primaria
46946886,"Gutierrez del Río Pilar Vitória",20241617,Matemáticas
75718353,"Gonzalez Adán Mateo Yasmin",20232691,Educación Inicial
53244286,"Barros Juarez Tito Julia",20239059,Ingeniería Electrónica
48863381,"Jaimes Amigó Maria Luísa Arthur Gabriel",20215417,Contabilidad
24598471,"Cabrera Ramos Guadalupe Elizabeth",20190473,Historia
95651354,"Bahena Navarro Ramiro Nicolas",20177926,Ingeniería Electrónica
75603852,"Camargo Sánchez Evelia Ascensión",20220329,Ingeniería Mecánica
29933668,"Ribera Godoy Wilson Milagros",20180401,Arquitectura
55687679,"Cortes Moreno Paulina Maria Alice",20236083,Odontología
41436507,"Santos Bustamante Sebastian Carmen",20185716,Enfermería
15346599,"Souza Paez Leidy Esteban",20214838,Contabilidad
93427339,"Nogueira Ortiz Hernán Tiziana",20218322,Ingeniería de Sistemas
84091664,"Quiroz Quintanilla Maitê Gregorio",20212995,Derecho
76736360,"Santos Loera Maximo Clara",20253893,Psicología
70305041,"Albuquerque Novaes Adriana Ian",20206594,Literatura y Lingüística
42557687,"Ruiz Centeno Bernardino Valentina",20237113,Ingeniería Geológica
36344644,"Barrios Pereira Julia Juan Pablo",20186121,Psicología
85287823,"Ayala Rincón Kaique Thiago",20225037,Ingeniería Ambiental
41868027,"Patiño Caldeira Oswaldo Carolina",20215251,Administración
20912721,"Pacheco Mejía Théo Carlos",20185913,Ingeniería Eléctrica
20312783,"Ojeda Suarez Vanesa Agustin",20242098,Química
23165124,"Lerma Nogueira Raúl Carolina",20175341,Economía
61615734,"Ruiz Correia Maximiano Lorenzo",20192955,Sociología
22764224,"Alzate Serna Juliana Eric",20214312,Historia
49553712,"Chávez Goicoechea Delfina Kiara",20202640,Ingeniería Industrial
56677862,"Trujillo Medina Matilda Estela",20193478,Física
30257447,"López Cunha Felipe Valentina",20213853,Literatura y Lingüística
15142953,"Nascimento Sánchez Juan Bautista Clara",20238971,Ingeniería Eléctrica
42572800,"Pereira Álvarez Adriana Hermelinda",20170294,Matemáticas
12690720,"Costa Herrera Adelina Abril",20229596,Enfermería
13657624,"Ruiz Santos Santino Isaac",20221302,Economía
99837151,"Oliveira Jove Renato Paola",20214991,Odontología
87749958,"Gonzalez Gonçalves Manuel Nina",20256552,Contabilidad
19548981,"Flores Vélez José Carlos Luana",20215407,Literatura y Lingüística
41901339,"Pérez Olivárez Juan Manuel Alfredo",20249371,Ingeniería Mecánica
31609947,"Castro Murillo Isaac Dante",20209473,Odontología
11235328,"da Rosa Torres Celestino Emiliano",20211814,Ingeniería Civil
67253080,"Mansilla Armengol Ascensión Mateo",20252490,Psicología
83306529,"Fabregat Camargo Maximo Cristina",20235607,Ingeniería Industrial
69330618,"Ybarra Pineda Marisol Melisa",20184319,Física
23012720,"Rocha Moura Enrico Natividad",20192067,Trabajo Social
60371678,"Medina Barrios Caio Sol",20211549,Trabajo Social
53486813,"Linares Zuluaga Norma Bastian",20193535,Arquitectura
95137292,"Malo Carranza Maria Guadalupe Viviana",20227213,Ingeniería Ambiental
85590461,"Mejía Garibay Catalina Hadassa",20182146,Educación Inicial
40220650,"Palacios Rueda Mónica Consuelo",20223338,Ingeniería Geológica
50165496,"Gonzalez Meneses Lorenza Felipe",20180210,Ingeniería Industrial
76171168,"Olivera Rocha Maria Sophia Julio",20183741,Odontología
75670106,"Navarro García Fernanda Milo",20248035,Comunicación Social
81339560,"Lima Flores Benigna Ciriaco",20207980,Biología
39668292,"Boada del Valle Isabela Juan",20193770,Ingeniería Civil
26294628,"Sá Velásquez Jaime Maria Clara",20206276,Ingeniería Industrial
56181684,"Villa Bertrán Olivia Maria Flor",20252726,Psicología
85398637,"Reyes Ortiz Sofia Adriana",20247580,Farmacia y Bioquímica
45611407,"Vilalta Nascimento Paola Natalia",20252977,Biología
72486723,"Cervántez Iglesias Mónica Maria Victoria",20222260,Literatura y Lingüística
77170780,"Parra Castelló Sergio Santino",20214260,Administración
37037392,"Gascón Rentería Georgina Elisa",20220080,Química
90753885,"Mena Gonzalez Rafael Paola",20184972,Ingeniería Mecánica
46890373,"Moyano Alvarez Julia Jose Carlos",20237676,Trabajo Social
92234646,"Figueroa Montaño Jacobo Luisa",20173556,Educación Secundaria - Matemática y Física
14289918,"Pacheco Patiño Isaura Martha",20236899,Sociología
95141269,"Gómez Nuñez Morena Martina",20245020,Ingeniería Electrónica
20259081,"Zaragoza Rodriguez Maria Júlia Primitiva",20238789,Ingeniería Industrial
14580463,"Pires Rios Edwin Juana",20228268,Educación Inicial
52986583,"Flores Fernandes Laís Jos",20184332,Ingeniería Mecánica
21699717,"Castro Montes Anita Maximiliano",20206461,Contabilidad
83516466,"Carranza Rodrigues Felix Abril",20182330,Educación Secundaria - Matemática y Física
33133941,"Hernando Ortega Eva Milagros",20258567,Ingeniería Geológica
15811320,"Campos Burgos José Luis Renato",20240454,Psicología
63170076,"Farias Corona Patricia Reinaldo",20173061,Ingeniería Electrónica
31374546,"Rivera Castro Teobaldo Juan Manuel",20235001,Administración
34201143,"Ruelas Batalla Maria Alice Nacho",20224427,Ingeniería Ambiental
32816068,"Muñoz Querol Simon Isabella",20172192,Literatura y Lingüística
94796391,"Pereyra Caldera Luis John",20256847,Ingeniería Industrial
58557508,"Rodriguez Gonçalves Juan Ignacio Stella",20239931,Arquitectura
30304472,"Soria Garzón Sandra Rafa",20241258,Derecho
36655374,"Rozas Hernández Lorenzo Julia",20252764,Farmacia y Bioquímica
34955938,"Sosa Guzmán Rebeca Juan Carlos",20248293,Trabajo Social
90606873,"Garcia da Conceição Mario Gael Henrique",20259837,Ingeniería Ambiental
57152594,"Gonçalves Castillo Nidia Antonia",20256735,Administración
21751365,"Garcia Serrano Ana Lívia João Miguel",20186125,Ingeniería Mecánica
47288955,"Jurado Rincón Marcela Benjamim",20206131,Ingeniería Mecánica
40354008,"Barrios Rios Nury Juan",20214208,Educación Inicial
75332620,"Nuñez Longoria Thiago Benjamin Maria Luiza",20201418,Ingeniería Geológica
19808534,"Rodríguez Alves Rocío Bernardo",20212031,Odontología
83118382,"Sánchez Manrique Bautista Juan Luis",20200799,Ingeniería Geológica
64979848,"Alcolea Alba Sergio Leandro",20211211,Derecho
76207714,"Jáuregui Lopez Arthur Gabriel Claudia",20181234,Trabajo Social
92343232,"Silveira Santos Mónica Ángela",20237875,Ingeniería Ambiental
45276465,"Bellido Miranda Remedios Juan Cruz",20247311,Ingeniería Geológica
29508842,"Ledesma Morales João Miguel Emilio",20184568,Educación Secundaria - Matemática y Física
84263271,"Lastra Sandoval Manuel Esther",20197085,Educación Inicial
89050198,"Gutierrez Bustamante Amor Yéssica",20191492,Trabajo Social
19640451,"Saavedra Posada Irene Dante",20210203,Ingeniería Geológica
18550090,"Toro Silva Francisco Simon",20207339,Física
41941692,"Costela Gil Ambrosio John",20236079,Administración
20533819,"Barbosa Prieto Vitor Gabriel Renato",20226778,Física
23662990,"Mendoza Amador Chuy Anastasia",20196152,Trabajo Social
28579947,"Coronado da Luz Maria Clara Rhavi",20173454,Comunicación Social
27868014,"Cadenas Mancebo Luz Lívia",20258596,Psicología
95911455,"Gómez Cano Gustavo Henrique Isaque",20250824,Sociología
44349496,"Perez Garcia Raul María Carmen",20211307,Ingeniería Eléctrica
37534544,"Gonzalez Dias Anna Liz Martina",20214762,Medicina Humana
49188004,"Perez Méndez Ana Carolina José",20197408,Biología
68160273,"Gómez Gomez Enzo Gabriel Ana",20255245,Arquitectura
64726248,"Guerra Alvarez Wilmar Juan",20258477,Odontología
72049455,"Fernandez Martínez Patricia Aura",20213055,Enfermería
34422272,"Sampaio Costa Javiera Custodia",20210036,Física
18885729,"Arriaga Palacios Ligia Bruno",20208585,Educación Secundaria - Matemática y Física
88010437,"Salvà Miranda Joaquin Antônio",20190835,Enfermería
94335047,"Riojas Jiménez Emilio Eduardo",20172722,Ingeniería Electrónica
96516549,"Cotto Montoya Mateo Maria Victoria",20232754,Química
38069638,"Lopez Sanches Benjamin Teófila",20187675,Derecho
51656795,"Ramirez Diaz Serafín Luisina",20250614,Comunicación Social
94161629,"Santamaria Nogueira Miguel Manuel",20209660,Arquitectura
49215085,"Vieira Mora Olivia Luis Miguel",20234226,Literatura y Lingüística
64707980,"Oliveira Amorós Yasmin Feliciana",20240252,Sociología
91705187,"Rivas Saldivar Joaquin Noah",20257013,Ingeniería Mecánica
32617059,"Rodrigues Valencia Samanta Andrea",20217333,Historia
45508777,"Gonzalez Vega Viviana Delfina",20205445,Historia
39384264,"Ferrero Leão Ian Ezequiel Alfredo",20184237,Ingeniería Mecánica
33100087,"Duarte Fernandez Luciano Isabelly",20199800,Administración
20105020,"Sala Acevedo Lautaro Estefanía",20200105,Enfermería
57393689,"Saura Vargas Claudia Maia",20197369,Enfermería
25129141,"Pedro Nieves Alejandra Juan Cruz",20210321,Ingeniería Geológica
43021811,"Novaes Carreón Fortunata Nicolas",20228372,Historia
11564508,"Peralta Pou Heraclio Ileana",20183281,Química
39000127,"Ledesma Burbano Joaquín Allana",20204302,Ingeniería Mecánica
46967162,"Casal Fonseca Zeferino Clementina",20248885,Sociología
27559146,"Valencia Nogués Larissa Danilo",20238786,Ingeniería Industrial
19440395,"Barragán Bas Thiago Benjamin Luis",20226799,Enfermería
67695405,"Preciado Rodarte Thiago Valentin Eladio",20199835,Trabajo Social
74907271,"Duran Moyano Ana Febe",20199493,Matemáticas
17856943,"Rocha Velandia Ezequiel Calixto",20187089,Farmacia y Bioquímica
25764007,"Orozco Iñiguez Marcela Luiz Fernando",20230098,Administración
78790347,"Moreno Pinto Roberto Ester",20189246,Ingeniería Industrial
36473845,"Mesa Gonzalez Silvano Agustina",20252119,Enfermería
72744982,"Echevarría Duarte Jhon Isabel",20230580,Ingeniería Ambiental
96461230,"Peralta Morales Amílcar Graciela",20252845,Administración
57825835,"Rodriguez Vargas Ciro Tania",20197245,Psicología
89221316,"Mendez Cardenas Alberto Manuel",20219027,Arquitectura
52147040,"Fonseca Monteiro Luz Dante",20202253,Contabilidad
15633385,"Benitez da Paz Eloah Augusto",20220491,Farmacia y Bioquímica
84382044,"Raya Vergara Lizeth Camila",20173359,Física
62692103,"Amores Rodriguez Andrea Horacio",20255521,Ingeniería Civil
30868738,"Ayala Pla Joaquin Valentino",20176414,Farmacia y Bioquímica
64280938,"Fonseca Reyes Nicolás Rubiela",20258534,Derecho
75126951,"Bahena Jiménez Francisco Julieta",20183635,Arquitectura
66903228,"Arco Leão Abigaíl Mauro",20218890,Comunicación Social
43470124,"Maldonado Chávez Morena Rafael",20179177,Ingeniería Industrial
13668214,"Contreras Sans Daniela Emilia",20217261,Trabajo Social
77168803,"Barba Espinosa Catalina Bárbara",20252351,Farmacia y Bioquímica
19646510,"Elorza Barrios Manu Francisco",20202114,Educación Secundaria - Matemática y Física
52902648,"Rodriguez Lopez Guilherme Isaque",20173707,Enfermería
74338372,"Miranda Moyano Raúl Vanesa",20242762,Educación Inicial
71985386,"Ramos Marrero Judith Ana",20241038,Química
31270138,"Rincón Pont Pía Catalina",20196444,Literatura y Lingüística
89488876,"Rodriguez Sampaio Salvador Arcelia",20247393,Medicina Humana
27781256,"Vazquez Ruiz Juan Carlos Luna",20221156,Arquitectura
48793141,"Vélez Salcedo Bonifacio Nina",20215601,Ingeniería Industrial
18220892,"Flores Gonzalez José Bautista",20183743,Trabajo Social
49194424,"das Neves Salazar Pedro Ramiro",20178205,Sociología
62895830,"Figueroa Pimenta Ana Andrés",20259553,Contabilidad
98945891,"Concepción Méndez Yesid Ana Paula",20236090,Enfermería
34479853,"Brito Rico Miguel Ángel Dom",20230493,Biología
89038636,"Amorós Gonzalez Melissa Ravy",20202241,Ingeniería Civil
43827137,"Mendez Grau Valentino Lucía",20237373,Educación Primaria
19942185,"Camacho Villanueva Rhavi Wendolin",20229855,Sociología
86869931,"Laboy Albuquerque Jose Ramón Luiz Felipe",20217423,Ingeniería Mecánica
24127793,"Trujillo Pires Karina Omar",20177905,Literatura y Lingüística
82373003,"Chapa Pereyra Gloria Alberto",20187545,Ingeniería Industrial
13720022,"Leão Lozano Juan Carlos Carlos",20255707,Comunicación Social
16735106,"Rodriguez de la Garza Osvaldo Lourdes",20206432,Biología
25195743,"González da Paz Josué Casandra",20190548,Administración
70002386,"Talavera Sepúlveda Mónica Marina",20213497,Física
73925055,"Laboy Alvarez Mateo Zoe Jazmin",20202644,Educación Inicial
89154338,"Ponce Gallego Thiago Daniel Urbano",20175655,Ingeniería Industrial
85668904,"Câmara Caicedo Andrés Isabela",20224180,Economía
46824014,"Marco Díaz María Eutimio",20242779,Física
76088524,"Ibarra Vieira Jacinta Julieta",20233342,Ingeniería Civil
80689556,"Agullo Castaño Federico Ana Cecília",20242723,Odontología
32763956,"Pinzón Canales Julio César Agustín",20209507,Ingeniería Mecánica
37430518,"Rios Serna Jorge Matteo",20208309,Odontología
91503638,"Batlle Rodríguez Linda Francisco",20201516,Ingeniería Mecánica
11360361,"Muñoz Escalante Nicole Cristian",20224146,Medicina Humana
65898224,"Londoño Pimenta Amelia Aurora",20213207,Psicología
45948918,"Saavedra Ruiz Felicitas Lisandro",20190216,Psicología
21214083,"da Conceição Aznar Ian Mateo Benjamin",20250837,Historia
35796338,"Moya Castillo Celia Adela",20258690,Odontología
69739866,"Ballesteros Tijerina Aida Victoria",20224874,Comunicación Social
26432368,"Silva da Cunha Andrea Alma",20248408,Derecho
56039690,"Cabrero Arreola Andrea Armida",20205975,Ingeniería Mecánica
10486167,"Gamboa Ortega Facundo Chita",20239114,Ingeniería Geológica
27345066,"Maidana Sá Mateo Alfredo",20171874,Literatura y Lingüística
30319345,"Nogueira Peralta Thiago Leonel Esther",20212686,Arquitectura
84526943,"Pinto Baeza Julio César Valerio",20188759,Psicología
76665966,"Fiol Espinosa Caridad Ana Paula",20253022,Sociología
92745270,"Sales Andrade Daniela Guillermo",20250917,Ingeniería Civil
73935967,"Perez Muñoz Jaime Emilia",20176912,Trabajo Social
25666533,"Reguera Ureña Ana Liz Rosalia",20218510,Ingeniería Civil
84461399,"Arnal Moraes Theodoro Leonor",20229975,Psicología
78863242,"Noguera Mansilla Tania Alba",20178499,Economía
72781318,"Muñoz Padilla Alejandra Gerónimo",20229415,Química
83736053,"Torres Torres Vitória Consuelo",20216915,Ingeniería Industrial
28007447,"Mateo Zambrano Candela Estela",20211511,Medicina Humana
80082839,"Durán Sancho Filomena Valentina ",20196525,Economía
80184784,"Molina Domínguez Cecilia Juan",20200026,Derecho
37552917,"Esquibel Brito Nancy Santino",20253907,Economía
20894695,"Goicoechea Figueroa Lucas Dora",20187542,Biología
64613026,"Maldonado Concepción Tomás Alma",20222277,Sociología
45423166,"Gabaldón Sierra Guadalupe Pablo",20238579,Ingeniería Eléctrica
60701190,"Rojas Viana Edilma León",20235833,Biología
69894731,"Sousa Barceló Florentina Flor",20201849,Historia
57125264,"Ledesma Alves Kamilly Alberto",20224544,Medicina Humana
83262718,"Rojas Rosado Marisela Giuliana",20235865,Economía
59860472,"Ropero Coca Ramiro Allana",20196264,Comunicación Social
80925650,"Altamirano Bernad Anabel Alexandre",20177827,Medicina Humana
69808958,"Rodriguez Montes Bautista Stella",20230700,Biología
34910557,"Cavalcante Hernández Ámbar Johana",20175614,Ingeniería Civil
43772837,"Guillen Gomes Esmeralda Lorena",20181737,Educación Primaria
85927629,"Sosa Dueñas Javier Daniel",20172723,Ingeniería Ambiental
31844795,"Ulibarri Villaseñor Judith Juan Carlos",20197693,Odontología
39986984,"Campos Teixeira Celia Irma",20208138,Ingeniería Geológica
33859146,"Miranda Lasa Antonia Juana",20176401,Sociología
53866773,"Barrios Pinto Itzel Maria Fernanda",20247961,Ingeniería Mecánica
26485710,"Preciado Amorós Isaac Maria Laura",20189358,Ingeniería Electrónica
86571196,"Ortega Rivas Simon Darwin",20219969,Ingeniería Geológica
76609524,"Alvarado Ramos Óscar Jos",20207338,Educación Secundaria - Matemática y Física
63294207,"Arévalo Lucio Dimas Jimena",20206679,Ingeniería Mecánica
17465389,"Rey Peralta Ana Laís",20174849,Literatura y Lingüística
94007506,"Fonseca Fernandes Roberto Ayla",20244736,Psicología
79765644,"Orosco Caceres Julieth Martín",20204212,Derecho
43464591,"Asenjo Alcázar Nelson Sol",20247062,Ingeniería Industrial
25388735,"Prada Córdoba Bautista Martina",20215334,Educación Secundaria - Matemática y Física
48332534,"Sanabria Marín Griselda Catalina",20249356,Psicología
97141879,"Alvarez Juarez Lautaro Nicolas Laura",20224267,Ingeniería Ambiental
99111163,"Benitez Rios Fredy Judith",20234828,Administración
47370374,"Martínez Vasconcelos Eloá Rodolfo",20209626,Literatura y Lingüística
98397424,"Mendes Bustos Danilo Mariana",20209420,Ingeniería Eléctrica
60898108,"Gimenez Ávila Hilda Renata",20227377,Contabilidad
48997058,"Silveira Gonzalez Rosa Nelly",20171067,Ingeniería Electrónica
99728112,"Echeverría Tijerina Maximo Rosalba",20217363,Matemáticas
38438635,"Esquibel Escobar Jessica Cristian",20239917,Farmacia y Bioquímica
68124085,"Vaquero Gomez Tomàs Antonio",20176327,Química
31403463,"Anguita Romeu Maria Clara Ezequiel",20198573,Sociología
67196348,"Melo Ledesma Marina Martín",20238161,Administración
28437601,"Medina Roca Maria Luz Cauã",20228742,Medicina Humana
43488900,"Aguero Llorente Juan Lucas",20174193,Física
68179515,"Sotelo Diaz Claudia Eva",20201698,Educación Primaria
64233070,"Priego Fernandes Pablo Natália",20259250,Educación Secundaria - Matemática y Física
49636787,"Lucero Vargas María Teresa Mateo",20209032,Historia
26519248,"Moreno Leão Ángela Valentin",20209996,Literatura y Lingüística
20877076,"Lago Villegas Aureliano Raúl",20199343,Administración
